iter	Passed	Remaining
0	459	229391
1	901	224537
2	1544	255902
3	2113	262029
4	2695	266841
5	3250	267663
6	3906	275146
7	4433	272639
8	4896	267153
9	5290	259229
10	5768	256448
11	6208	252473
12	6588	246825
13	6944	241075
14	7461	241265
15	7831	236889
16	8193	232794
17	8611	230593
18	8982	227394
19	9365	224773
20	9779	223069
21	10143	220392
22	10500	217766
23	10896	216112
24	11280	214330
25	11632	212060
26	12002	210261
27	12388	208830
28	12866	208967
29	13265	207825
30	13667	206781
31	14017	204999
32	14682	207781
33	15043	206186
34	15427	204970
35	15839	204153
36	16215	202918
37	16534	201030
38	17005	201016
39	17336	199366
40	17726	198447
41	18153	197957
42	18474	196346
43	18879	195660
44	19237	194515
45	19618	193626
46	19978	192561
47	20348	191615
48	20720	190711
49	21117	190061
50	21453	188872
51	21787	187708
52	22145	186770
53	22490	185756
54	22859	184953
55	23279	184576
56	23651	183815
57	23989	182819
58	24469	182899
59	24826	182062
60	25149	180994
61	25586	180754
62	25907	179707
63	26246	178803
64	26666	178458
65	27006	177585
66	27362	176832
67	27920	177375
68	28434	177610
69	28952	177848
70	29520	178367
71	30022	178467
72	30599	178986
73	31038	178683
74	31428	178092
75	31777	177282
76	32122	176463
77	32456	175599
78	32822	174914
79	33219	174401
80	33610	173862
81	34071	173679
82	34438	173023
83	34850	172593
84	35347	172578
85	35840	172534
86	36491	173230
87	36992	173191
88	37618	173723
89	38200	174024
90	38552	173273
91	38967	172810
92	39322	172087
93	39695	171452
94	40069	170821
95	40415	170083
96	40743	169273
97	41093	168565
98	41428	167808
99	41763	167054
100	42121	166401
101	42489	165793
102	42817	165035
103	43366	165127
104	43786	164721
105	44144	164085
106	44678	164099
107	45116	163756
108	45477	163133
109	45840	162527
110	46337	162389
111	46680	161714
112	47051	161139
113	47470	160731
114	47834	160140
115	48193	159536
116	48627	159182
117	48983	158574
118	49323	157916
119	49690	157352
120	50061	156803
121	50419	156216
122	50791	155678
123	51159	155130
124	51515	154546
125	51856	153922
126	52196	153301
127	52581	152814
128	52913	152177
129	53259	151584
130	53667	151169
131	54012	150578
132	54356	149990
133	54835	149775
134	55176	149182
135	55530	148626
136	55953	148257
137	56312	147719
138	56647	147120
139	57074	146761
140	57439	146247
141	57821	145776
142	58192	145278
143	58543	144731
144	58909	144226
145	59429	144096
146	59873	143778
147	60261	143324
148	60607	142772
149	60967	142257
150	61477	142089
151	62072	142114
152	62577	141924
153	63078	141721
154	63642	141655
155	64260	141702
156	64618	141173
157	64979	140651
158	65350	140153
159	65714	139643
160	66073	139123
161	66548	138848
162	66922	138362
163	67289	137861
164	67716	137485
165	68115	137052
166	68606	136802
167	69143	136640
168	69618	136354
169	70166	136206
170	70704	136034
171	71205	135788
172	71732	135587
173	72128	135136
174	72528	134695
175	72898	134199
176	73381	133910
177	73817	133535
178	74164	132999
179	74561	132553
180	75058	132284
